"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","jfz1r03h11",,,,"User:","stack"
"Cmdline:","dstat -tcmndrylpg --tcp --output /opt/stack/logs/dstat-csv.log",,,,"Date:","02 Jan 2019 11:45:36 PST"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
02-01 11:45:37,0.280,0.163,99.549,0.001,0.0,0.008,3904315392.0,320675840.0,7738138624.0,2.58474426368e+11,0.0,0.0,10841.610,1019680.052,0.264,8.359,764.160,3434.034,0.710,0.320,0.320,0.000,0.0,2.835,0.0,0.0,12.0,6.0,0.0,4.0,0.0
02-01 11:45:38,0.611,1.487,97.888,0.0,0.0,0.014,3901874176.0,320675840.0,7738036224.0,2.58476969984e+11,120.0,0.0,0.0,24576.0,0.0,6.0,4359.0,8112.0,0.730,0.330,0.330,2.0,0.0,600.0,0.0,0.0,12.0,6.0,0.0,4.0,0.0
02-01 11:45:39,0.988,1.100,97.884,0.014,0.0,0.014,3903520768.0,320675840.0,7737958400.0,2.58475401216e+11,60.0,0.0,0.0,405504.0,0.0,43.0,4138.0,14096.0,0.730,0.330,0.330,1.0,0.0,261.0,0.0,0.0,14.0,6.0,0.0,4.0,0.0
02-01 11:45:40,0.361,0.556,99.083,0.0,0.0,0.0,3906080768.0,320675840.0,7738093568.0,2.58472706048e+11,120.0,0.0,0.0,20480.0,0.0,8.0,1248.0,4957.0,0.730,0.330,0.330,2.0,0.0,164.0,0.0,0.0,14.0,8.0,0.0,4.0,0.0
02-01 11:45:41,1.099,0.918,97.982,0.0,0.0,0.0,3941072896.0,320675840.0,7738191872.0,2.58437615616e+11,244.0,94.0,0.0,0.0,0.0,0.0,1988.0,6034.0,0.730,0.330,0.330,2.0,0.0,131.0,0.0,0.0,14.0,8.0,0.0,8.0,0.0
02-01 11:45:42,1.101,0.432,98.272,0.139,0.0,0.056,3997523968.0,320675840.0,7761051648.0,2.58358304768e+11,120.0,0.0,0.0,15458304.0,0.0,1362.0,2713.0,12487.0,0.730,0.330,0.330,2.0,0.0,1.0,0.0,0.0,14.0,10.0,0.0,8.0,0.0
02-01 11:45:43,1.112,0.542,97.929,0.361,0.0,0.056,4004405248.0,320675840.0,7809695744.0,2.58302779392e+11,60.0,0.0,0.0,84623360.0,0.0,1749.0,3207.0,14754.0,0.830,0.360,0.340,2.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0,8.0,0.0
02-01 11:45:44,1.323,0.585,97.910,0.111,0.0,0.070,4003729408.0,320675840.0,7810969600.0,2.58302181376e+11,60.0,0.0,0.0,15388672.0,0.0,1468.0,3068.0,16228.0,0.830,0.360,0.340,2.0,0.0,2.0,0.0,0.0,14.0,10.0,0.0,8.0,0.0
02-01 11:45:45,1.638,0.416,97.820,0.069,0.0,0.056,4006895616.0,320684032.0,7811710976.0,2.582982656e+11,60.0,0.0,0.0,8900608.0,0.0,815.0,2528.0,15353.0,0.830,0.360,0.340,2.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0,8.0,0.0
02-01 11:45:46,1.295,0.710,97.897,0.070,0.0,0.028,3930136576.0,320684032.0,7812657152.0,2.58374078464e+11,180.0,42.0,0.0,8400896.0,0.0,775.0,2972.0,12350.0,0.830,0.360,0.340,2.0,0.0,78.0,0.0,0.0,14.0,8.0,0.0,9.0,0.0
02-01 11:45:47,1.402,0.569,98.015,0.014,0.0,0.0,3930529792.0,320684032.0,7813181440.0,2.5837316096e+11,60.0,0.0,0.0,6795264.0,0.0,84.0,1519.0,5001.0,0.830,0.360,0.340,2.0,0.0,13.0,0.0,0.0,14.0,8.0,0.0,9.0,0.0
02-01 11:45:48,1.390,0.486,98.110,0.014,0.0,0.0,3927269376.0,320688128.0,7813750784.0,2.58375847936e+11,60.0,0.0,0.0,6971392.0,0.0,93.0,1221.0,4901.0,0.850,0.370,0.340,4.0,0.0,36.0,0.0,0.0,14.0,8.0,0.0,9.0,0.0
02-01 11:45:49,0.876,1.682,97.443,0.0,0.0,0.0,3948781568.0,320696320.0,7814811648.0,2.58353266688e+11,60.0,0.0,0.0,5660672.0,0.0,155.0,5346.0,10449.0,0.850,0.370,0.340,3.0,0.0,585.0,0.0,0.0,14.0,8.0,0.0,9.0,0.0
02-01 11:45:50,13.781,3.313,82.823,0.0,0.0,0.084,4607602688.0,320696320.0,7817314304.0,2.57691942912e+11,60.0,0.0,0.0,118784.0,0.0,7.0,7458.0,11608.0,0.850,0.370,0.340,19.0,0.0,262.0,0.0,0.0,14.0,10.0,0.0,9.0,0.0
02-01 11:45:51,20.453,2.999,76.284,0.0,0.0,0.264,5478711296.0,320696320.0,7827734528.0,2.5681041408e+11,120.0,0.0,0.0,2183168.0,0.0,5.0,6817.0,22001.0,0.850,0.370,0.340,5.0,0.0,156.0,0.0,0.0,14.0,8.0,0.0,11.0,0.0
02-01 11:45:52,1.755,0.863,97.382,0.0,0.0,0.0,5551071232.0,320696320.0,7838146560.0,2.56727642112e+11,394.0,0.0,0.0,0.0,0.0,0.0,1387.0,23494.0,0.850,0.370,0.340,2.0,0.0,3.0,0.0,0.0,14.0,8.0,0.0,11.0,0.0
02-01 11:45:53,1.307,0.528,98.165,0.0,0.0,0.0,5513326592.0,320696320.0,7838183424.0,2.56765349888e+11,60.0,0.0,0.0,1064960.0,0.0,64.0,1412.0,5813.0,0.860,0.380,0.340,2.0,0.0,72.0,0.0,0.0,14.0,8.0,0.0,14.0,0.0
02-01 11:45:54,1.831,0.527,97.642,0.0,0.0,0.0,5550022656.0,320696320.0,7838203904.0,2.56728633344e+11,60.0,0.0,0.0,0.0,0.0,0.0,1260.0,6056.0,0.860,0.380,0.340,2.0,0.0,5.0,0.0,0.0,14.0,44.0,0.0,17.0,0.0
02-01 11:45:55,1.335,0.570,98.054,0.0,0.0,0.042,5537112064.0,320696320.0,7838273536.0,2.56741474304e+11,60.0,0.0,0.0,0.0,0.0,0.0,1551.0,5653.0,0.860,0.380,0.340,2.0,0.0,115.0,0.0,0.0,14.0,56.0,0.0,19.0,0.0
02-01 11:45:56,1.666,0.500,97.792,0.0,0.0,0.042,5578051584.0,320696320.0,7838289920.0,2.567005184e+11,60.0,0.0,0.0,3788800.0,0.0,293.0,1777.0,6164.0,0.860,0.380,0.340,2.0,0.0,5.0,0.0,0.0,14.0,104.0,0.0,23.0,0.0
02-01 11:45:57,1.307,0.723,97.970,0.0,0.0,0.0,5581713408.0,320696320.0,7838359552.0,2.56696786944e+11,60.0,0.0,0.0,0.0,0.0,0.0,1995.0,5656.0,0.860,0.380,0.340,2.0,0.0,153.0,0.0,0.0,14.0,104.0,0.0,24.0,0.0
02-01 11:45:58,1.541,0.430,98.001,0.0,0.0,0.028,5617250304.0,320696320.0,7838416896.0,2.56661192704e+11,60.0,0.0,0.0,1331200.0,0.0,4.0,1232.0,5668.0,0.870,0.390,0.350,3.0,0.0,7.0,0.0,0.0,14.0,166.0,0.0,30.0,0.0
02-01 11:45:59,1.708,0.639,97.639,0.0,0.0,0.014,5629161472.0,320696320.0,7838502912.0,2.5664919552e+11,60.0,0.0,0.0,0.0,0.0,0.0,1447.0,6739.0,0.870,0.390,0.350,2.0,0.0,61.0,0.0,0.0,14.0,188.0,0.0,32.0,0.0
02-01 11:46:00,1.488,0.389,98.095,0.0,0.0,0.028,5661192192.0,320696320.0,7838547968.0,2.56617119744e+11,60.0,0.0,0.0,0.0,0.0,0.0,1251.0,5805.0,0.870,0.390,0.350,3.0,0.0,3.0,0.0,0.0,14.0,202.0,0.0,39.0,0.0
02-01 11:46:01,1.445,0.834,97.721,0.0,0.0,0.0,5661904896.0,320696320.0,7838601216.0,2.56616353792e+11,60.0,0.0,0.0,204800.0,0.0,18.0,1833.0,6223.0,0.870,0.390,0.350,2.0,0.0,91.0,0.0,0.0,14.0,200.0,0.0,40.0,0.0
02-01 11:46:02,1.570,0.459,97.944,0.0,0.0,0.028,5623644160.0,320696320.0,7838633984.0,2.5665458176e+11,60.0,0.0,0.0,0.0,0.0,0.0,1532.0,6169.0,0.870,0.390,0.350,3.0,0.0,54.0,0.0,0.0,14.0,212.0,0.0,48.0,0.0
02-01 11:46:03,1.128,0.599,98.272,0.0,0.0,0.0,5679915008.0,320696320.0,7838687232.0,2.56598257664e+11,60.0,0.0,0.0,0.0,0.0,0.0,1730.0,4707.0,0.880,0.400,0.350,2.0,0.0,103.0,0.0,0.0,14.0,214.0,0.0,49.0,0.0
02-01 11:46:04,1.420,0.696,97.870,0.0,0.0,0.014,5647241216.0,320696320.0,7838744576.0,2.56630874112e+11,120.0,0.0,0.0,0.0,0.0,0.0,1708.0,7145.0,0.880,0.400,0.350,2.0,0.0,122.0,0.0,0.0,14.0,224.0,0.0,53.0,0.0
02-01 11:46:05,1.459,0.347,98.166,0.0,0.0,0.028,5688922112.0,320696320.0,7838752768.0,2.56589185024e+11,60.0,0.0,0.0,0.0,0.0,0.0,1204.0,5271.0,0.880,0.400,0.350,3.0,0.0,4.0,0.0,0.0,14.0,226.0,0.0,58.0,0.0
02-01 11:46:06,1.390,0.765,97.831,0.0,0.0,0.014,5675266048.0,320696320.0,7838785536.0,2.5660280832e+11,60.0,0.0,0.0,14217216.0,0.0,91.0,1919.0,5830.0,0.880,0.400,0.350,2.0,0.0,125.0,0.0,0.0,14.0,224.0,0.0,59.0,0.0
02-01 11:46:07,1.361,0.639,97.972,0.014,0.0,0.014,5640368128.0,320696320.0,7838797824.0,2.56637693952e+11,60.0,0.0,0.0,229376.0,0.0,15.0,1830.0,5340.0,0.880,0.400,0.350,2.0,0.0,118.0,0.0,0.0,14.0,224.0,0.0,63.0,0.0
02-01 11:46:08,1.404,0.542,98.054,0.0,0.0,0.0,5697011712.0,320696320.0,7838814208.0,2.56581033984e+11,60.0,0.0,0.0,1658880.0,0.0,60.0,1301.0,4694.0,0.890,0.410,0.360,2.0,0.0,8.0,0.0,0.0,14.0,225.0,0.0,65.0,0.0
02-01 11:46:09,1.390,0.751,97.818,0.0,0.0,0.042,5666091008.0,320696320.0,7838830592.0,2.56611938304e+11,120.0,0.0,0.0,159744.0,0.0,24.0,2070.0,6441.0,0.890,0.410,0.360,2.0,0.0,127.0,0.0,0.0,14.0,224.0,0.0,67.0,0.0
02-01 11:46:10,1.294,0.473,98.233,0.0,0.0,0.0,5648433152.0,320696320.0,7838842880.0,2.56629583872e+11,60.0,0.0,0.0,86016.0,0.0,12.0,1425.0,4900.0,0.890,0.410,0.360,2.0,0.0,66.0,0.0,0.0,14.0,224.0,0.0,71.0,0.0
02-01 11:46:11,1.365,0.488,98.133,0.0,0.0,0.014,5709029376.0,320696320.0,7838855168.0,2.5656897536e+11,60.0,0.0,0.0,155648.0,0.0,9.0,1693.0,5498.0,0.890,0.410,0.360,2.0,0.0,70.0,0.0,0.0,14.0,226.0,0.0,72.0,0.0
02-01 11:46:12,1.332,0.777,97.877,0.0,0.0,0.014,5680803840.0,320696320.0,7838887936.0,2.56597168128e+11,60.0,0.0,0.0,122880.0,0.0,16.0,2232.0,5645.0,0.890,0.410,0.360,2.0,0.0,139.0,0.0,0.0,14.0,224.0,0.0,76.0,0.0
02-01 11:46:13,1.391,0.501,98.080,0.0,0.0,0.028,5653843968.0,320696320.0,7838896128.0,2.56624119808e+11,60.0,0.0,0.0,90112.0,0.0,12.0,1520.0,5844.0,0.900,0.420,0.360,2.0,0.0,87.0,0.0,0.0,14.0,224.0,0.0,81.0,0.0
